Ax;Ay;Az;Gx;Gy;Gz;Room ;Obj,,
14964;-2088;6432;-202;-157;-151;33,39;34,39
14988;-1956;6404;61;-733;-214;33,39;34,39
15092;-1800;5980;-71;-564;-150;33,35;33,59
15104;-1768;6168;-100;-415;-10;33,29;32,67
15264;-1680;5924;-98;-427;-99;33,29;32,41
15352;-1652;5728;429;-494;-501;33,25;32,59
15236;-1304;5488;60;-400;-182;33,25;32,77
15452;-1368;5380;-129;-235;-151;33,21;33,11
15484;-1204;5220;-329;-198;-62;33,21;33,45
15472;-1272;5144;-246;-19;-101;33,21;33,85
15472;-1172;4988;-350;188;-18;33,21;34,25
15436;-1204;5056;-475;326;63;33,21;34,25
15348;-1428;5232;-482;399;98;33,21;34,99
15284;-1416;5556;-747;388;178;33,25;35,33
15292;-1572;5768;-591;466;34;33,29;35,59
15132;-1544;5928;-669;495;163;33,29;35,73
15140;-1664;5908;-459;255;-29;33,35;35,81
15076;-1700;5944;-520;203;56;33,35;35,99
15064;-1856;5996;-398;179;-21;33,39;35,95
15056;-1716;6156;-294;83;-123;33,39;35,85
15156;-1764;6144;-446;115;19;33,39;35,85
15048;-1680;6136;-313;-353;-4;33,39;35,69
15160;-1716;6176;-395;52;-20;33,43;35,29
14972;-1720;6120;-279;-130;-104;33,43;34,91
15116;-1624;6080;-18;-445;-174;33,43;34,47
15184;-1620;5984;-106;-605;-184;33,39;33,45
15168;-1532;5664;-8;-234;-165;33,39;32,67
15316;-1340;5512;-77;-466;-121;33,29;32,63
15484;-1376;5340;41;-317;-154;33,29;32,71
15428;-1348;5292;106;-263;-223;33,25;32,71
15456;-1216;5308;-255;-171;-35;33,25;32,89
15472;-1388;5224;-104;-412;-147;33,25;33,15
15496;-1328;5152;-244;-105;-30;33,21;33,49
15500;-1176;5148;-137;-139;-155;33,21;33,93
15544;-1300;5336;-699;309;166;33,25;34,55
15300;-1292;5568;-544;631;101;33,25;35,21
15140;-1500;5648;-651;381;45;33,25;35,51
15216;-1592;5796;-536;404;32;33,29;35,65
15104;-1624;5764;-555;386;34;33,29;35,65
15168;-1660;5900;-568;366;75;33,35;35,73
15104;-1608;5692;-572;165;51;33,39;35,91
15080;-1712;5972;-362;245;-6;33,39;35,91
15076;-1692;6160;-356;246;-38;33,43;35,73
15112;-1756;6188;-367;-70;-100;33,43;35,55
15012;-1624;6328;-278;137;16;33,43;35,7
15112;-1728;6040;-400;51;-119;33,43;34,61
15068;-1832;6264;-145;-448;-123;33,43;33,71
15220;-1604;5796;-90;-454;-119;33,43;33,71
15232;-1552;5980;-214;-517;-113;33,35;32,85
15364;-1604;5484;-173;-580;-67;33,29;31,89
15416;-1548;5492;-111;-420;-135;33,29;31,47
15448;-1332;5300;-168;-284;-129;33,25;31,59
15512;-1304;5248;-214;-337;-59;33,21;31,93
15500;-1204;5144;-158;-111;-171;33,21;32,33
15512;-1220;5020;-360;-27;-3;33,17;32,85
15428;-1316;5236;-349;216;-40;33,17;33,67
15448;-1436;5384;-697;552;151;33,17;33,67
15276;-1500;5688;-652;439;93;33,21;34,65
